vid,question,gt,choices_list,attribution,topic,basis,related_times,related_person,related_location
"['S01E01', 'S01E02', 'S01E03', 'S01E04']",Which two characters are siblings?,Ross and Monica,"['Ross and Monica', 'Chandler and Joey', 'Phoebe and Rachel', 'Joey and Rachel']",perception,C,Directly stated in the show.,"['03:48-04:00', '30:57-32:00']","['Ross', 'Monica']","['Central Perk', ""Monica's Apartment""]"
"['S01E01', 'S01E02', 'S01E03', 'S01E04']",Who left their fiancé at the altar?,Rachel,"['Monica', 'Phoebe', 'Rachel', 'Carol']",perception,C,Shown in the first episode.,['03:29-04:45'],"['Rachel', 'Barry']","[""Monica's Apartment""]"
"['S01E01', 'S01E02', 'S01E03', 'S01E04']",Which character is revealed to be expecting a baby?,Carol,"['Carol', 'Susan', 'Monica', 'Rachel']",perception,C,Revealed during a visit to the doctor.,['25:44-26:23'],"['Carol', 'Ross', 'Susan']",['Museum of Prehistoric History']
"['S01E01', 'S01E02', 'S01E03', 'S01E04']",Who struggles with a nicotine addiction?,Chandler,"['Chandler', 'Joey', 'Ross', 'Phoebe']",perception,C,Shown throughout multiple episodes.,['48:01-67:59'],['Chandler'],"['Central Perk', ""Chandler and Joey's""]"
"['S01E01', 'S01E02', 'S01E03', 'S01E04']",Which character offers a homeless person a large sum of money?,Phoebe,"['Phoebe', 'Rachel', 'Monica', 'Joey']",perception,C,Shown in the episode where Phoebe receives extra money.,['57:27-58:00'],"['Phoebe', 'Lizzie']",['A Street']
"['S01E01', 'S01E02', 'S01E03', 'S01E04']",Who works as a waitress at Central Perk?,Rachel,"['Rachel', 'Monica', 'Phoebe', 'Marsha']",perception,C,Shown after Rachel moves in with Monica.,['14:16-15:20'],['Rachel'],['Central Perk']
"['S01E01', 'S01E02', 'S01E03', 'S01E04']",What object does Rachel obsess over instead of her fiancé?,A gravy boat,"['A gravy boat', 'A purse', 'A shoe', 'A hat']",perception,A,Rachel describes this in her explanation for leaving Barry.,['04:14-04:35'],"['Rachel', 'Barry']","[""Monica's Apartment""]"
"['S01E01', 'S01E02', 'S01E03', 'S01E04']",What game do the friends play during a slumber party?,Twister,"['Twister', 'Monopoly', 'Operation', 'Scrabble']",perception,A,Shown during the slumber party scene.,['76:52-78:03'],"['Monica', 'Phoebe', 'Rachel']","[""Monica's Apartment""]"
"['S01E01', 'S01E02', 'S01E03', 'S01E04']",What sport do the male friends attend together?,Hockey,"['Baseball', 'Basketball', 'Football', 'Hockey']",perception,A,Joey gives Ross tickets to the game.,['70:40-72:00'],"['Joey', 'Chandler', 'Ross']",['Central Perk']
"['S01E01', 'S01E02', 'S01E03', 'S01E04']",Who impersonates David Hasselhoff?,Chandler,"['Joey', 'Chandler', 'Ross', 'Alan']",perception,A,Chandler performs the impression after meeting Alan.,['55:38-55:44'],"['Chandler', 'Alan']","[""Monica's Apartment""]"
"['S01E01', 'S01E02', 'S01E03', 'S01E04']",What unusual item does Phoebe find in a can of soda?,A thumb,"['A toe', 'A thumb', 'A finger', 'An eyeball']",perception,A,Phoebe discovers this after buying a soda from Lizzie.,['59:04-59:21'],"['Phoebe', 'Lizzie']",['A Street']
"['S01E01', 'S01E02', 'S01E03', 'S01E04']",What job does Ross have?,Paleontologist,"['Paleontologist', 'Orthodontist', 'Chef', 'Actor']",perception,A,Mentioned in conversations about his work.,['24:43-25:13'],['Ross'],['Museum of Prehistoric History']
"['S01E01', 'S01E02', 'S01E03', 'S01E04']",What is the name of Ross's ex-wife?,Carol,"['Susan', 'Carol', 'Emily', 'Janice']",perception,C,Mentioned frequently by Ross.,['02:13-02:18'],"['Ross', 'Carol']",['Central Perk']
"['S01E01', 'S01E02', 'S01E03', 'S01E04']",Where do Monica and Paul go on their first date?,A restaurant,"['A museum', 'A restaurant', 'Central Perk', 'A movie theater']",perception,L,Monica mentions going out to dinner with Paul.,['10:24-10:52'],"['Monica', 'Paul']",['A Restaurant']
